"V1","post_id","image_id","insta_objects","caption","time_post","likes","num_comments","loc_id","loc_name","loc_zip","loc_city","area","dest","sample","date","month","year","day","dest_id"
114172,"B2I7aGTn0XI","5d8e52848b5f3a513cf43fbe_B2I7aGTn0XI_0.jpg"," sky, grass and outdoor","Yay, grass! #urbanspaces #fortifications #threecities #malta #travel #instadailypic #amateurphotography #birgu",1567922674,10,0,NA,"","","",4,40,1,2019-09-08,9,2019,8,1
233641,"B2WpQh1nLM4","5d8f0b3586e80933b9c9bfc7_B2WpQh1nLM4_0.jpg","","Day 93 - Athens: Managed to squeeze in a quick lunch before our train <U+0001F686>. One of the best trains we’ve had (if not the best!) on our travels <U+0001F60A>not only was it on time but incredibly clean and modern <U+0001F686><U+0001F601>. Also it provided some decent entertainment as there was a couple onboard having a domestic (and no it wasn’t @tommy_t26 and I for once <U+0001F92A>). We then went to a traditional Greek restaurant for dinner, Syntrimmi, where we had a few small plates and thought we were on to an absolute bargain, as they sold a litre of their organic house white wine for only €5. Unfortunately you get what you pay for and it turned out to be disgusting <U+0001F974>. We hoped it would improve as we drank it but it didn’t; luckily the waitress had only poured half a litre to stop it getting warm, so we managed to get the other half as red wine, which was much nicer! Sadly on our way home we saw a building on fire, with the fire brigade doing an amazing job of trying to save people. The smoke was so bad even from where we walked through, we hope everyone was ok. From our accommodation you can see the smoke from our balcony!",1568382920,16,1,213076173,"Athens, Greece","","Athens, Greece",2,22,1,2019-09-13,9,2019,13,0
144455,"Byv2QjgCjF5","5d5ae3cd86e8094271d12f2a_Byv2QjgCjF5_0.jpg"," outdoor","#oops #retro #architecture #design #glasswindowview #patterns #irondesign #lines #blackandwhite #earhcolors #urbanart #grafgitiart #graffiti #streetart #glow #orange #light #shades #shadows #urbanphotography #travelphotography #streetphotography #mobilephonephotography #colors #paving #path #neighborhoodwalk #athens #photography",1560638663,14,1,NA,"","","",2,22,1,2019-06-15,6,2019,15,0
21344,"By_FuVnnsxe","5d59337886e809344e10b61b_By_FuVnnsxe_2.jpg","","The Travellers Live at Ghanafest 2019 hosted by Festivals Malta.  #ghanafest2019 #festivals #malta #folkmusic #culture #music",1561150087,14,0,510433021,"Argotti Botanic Gardens & Resource Centre - University of Malta","","Floriana, Malta",4,40,0,2019-06-21,6,2019,21,1
139590,"BykgLboBHqr","5d5ae85d86e8094271d139b9_BykgLboBHqr_8.jpg","","Greece has been amazing and just what I needed. My work project went better than I ever expected and I had just the right amount of time to explore and enjoy! Looking forward to the next destination! #blackboyjoy #blackandabroad #worktrip #solotravel #greece #athens",1560257988,95,4,37297686,"Acropolis - <U+0391><U+03BA><U+03C1><U+03CC>p<U+03BF><U+03BB><U+03B7>","15121","Athens, Greece",2,22,0,2019-06-11,6,2019,11,0
133605,"B24wS9OH7id","5d8e43638b5f3a513cf411e8_B24wS9OH7id_0.jpg"," one or more people, people standing, mountain, sky, ocean, outdoor, nature and water","Where the sea is so blue.. #sea #blue #silhouette #men #blonde #view #coast #sky #horizon #travel #travelphotography #travelgram #photography #photooftheday #malta #explore #adventure #cliff #vacation",1569527461,27,0,215718701,"Blue Grotto (Malta)","","Iz-Zurrieq, Malta",4,40,1,2019-09-26,9,2019,26,1
137676,"Bye3qZSIH5E","5d5aeade86e8094271d13ef8_Bye3qZSIH5E_2.jpg","","Fini les vacances ! Bye <U+0001F1EC><U+0001F1F7> <U+0001F499>#greece #athens #santorini #holidays #lesvacancescapassetropvite",1560068973,44,4,263624470,"Greece","","",2,22,0,2019-06-09,6,2019,9,0
204592,"B1L7ZmqgjBp","5d5aae7e86e8094271d0afda_B1L7ZmqgjBp_0.jpg","","ATHENS. So it’s a public holiday in #Greece today so the streets are looking bare which makes it great for a walk with less buzzing .. I like this #concept of #pedestrianised areas.. a lot of the central bits are allowing #localvendors to have their little stalls and people to walk around and #shop as well as #eat without the hustle of #cars #bikes and #scooters at every corner ... more cities should really do this... it’s very common in #Europe .. I <U+2665><U+FE0F> it  #athens #travel #tour #travelgram #travelgrammer #city #summer #europe",1565875850,13,0,213076173,"Athens, Greece","","Athens, Greece",2,22,1,2019-08-15,8,2019,15,0
214903,"B1lvnTohk7X","5d8f1b3986e80933b9c9e62b_B1lvnTohk7X_6.jpg","","#traveling #tourism #greece #acropolis #history #oldtown #travelers #travel #travelphotography #travelpic #photobysukhitakaraleli #photobyme #athens #georgian #instatravel #instagood #instaphotos #instapic #instagramer #instagram #museum #followme #following #pic #pictures #photography #photographer",1566742086,41,0,193317274863721,"Acropolis - Parthenon, Athens, Greece","","Athens, Greece",2,22,0,2019-08-25,8,2019,25,0
248851,"B261bIvJQbf","5d8efcdc86e80933b9c9a125_B261bIvJQbf_3.jpg","","There is a big world <U+0001F30D> out there, you do not have to feel stuck in your tiny corner of the planet . You do not need to ask permission, or wait for someone to tag along. Go, seek adventure, and see who you can become and meet . Met some beautiful likeminded travelers of this world . I am forever grateful that we have met and created our own memories that will last a lifetime.#contikiminimegs #travelandmeet #lovefortravel #alivewhentravelling #beautifulsouls #greece #mykonos #santorini #athens",1569597258,46,0,263624470,"Greece","","",2,22,0,2019-09-27,9,2019,27,0
